timestamp,cpu_millicores
1781202437,38
1781202442,2
1781202447,2
1781202452,2
1781202457,2
1781202463,2
1781202468,2
1781202473,22
1781202478,22
1781202483,22
1781202488,81
1781202493,81
1781202498,81
1781202503,156
1781202508,156
1781202513,156
1781202518,235
1781202523,235
1781202528,235
1781202533,341
1781202538,341
1781202543,341
1781202548,407
1781202553,407
1781202559,407
1781202564,470
1781202569,470
1781202574,470
1781202579,439
1781202584,439
1781202589,439
1781202594,271
1781202599,271
1781202604,271
1781202609,16
1781202614,16
1781202619,16
1781202624,16
1781202629,16
1781202634,16
1781202639,16
1781202644,16
1781202649,16
1781202654,16
1781202659,16
1781202665,16
1781202670,16
1781202675,16
1781202680,13
1781202685,13
1781202690,13
1781202695,11
1781202700,11
1781202705,11
1781202710,11
1781202715,10
1781202720,10
1781202725,10
1781202730,11
1781202735,11
1781202740,10
1781202745,9
1781202750,9
1781202755,9
1781202760,10
1781202765,10
