timestamp,cpu_millicores
1781201946,21
1781201951,2
1781201956,2
1781201961,2
1781201966,2
1781201972,2
1781201977,2
1781201982,14
1781201987,14
1781201992,14
1781201997,87
1781202002,87
1781202007,87
1781202012,166
1781202017,166
1781202022,166
1781202027,246
1781202032,246
1781202037,246
1781202042,348
1781202047,348
1781202052,348
1781202057,428
1781202062,428
1781202068,428
1781202073,446
1781202078,446
1781202083,446
1781202088,451
1781202093,451
1781202098,451
1781202103,259
1781202108,259
1781202113,259
1781202118,17
1781202123,17
1781202128,17
1781202133,16
1781202138,16
1781202143,16
1781202148,17
1781202153,17
1781202158,17
1781202163,17
1781202168,17
1781202173,17
1781202179,17
1781202184,17
1781202189,13
1781202194,13
1781202199,13
1781202204,12
1781202209,11
1781202214,11
1781202219,11
1781202224,12
1781202229,12
1781202234,12
1781202239,12
1781202244,12
1781202249,10
1781202254,10
1781202259,10
1781202264,10
1781202269,9
1781202274,9
