timestamp,active_connections,reconnect_rate
1781208484,0,0
1781208489,0,0
1781208494,0,0
1781208499,0,0
1781208504,0,0
1781208509,21,23.275000000000002
1781208514,21,30.296000000000003
1781208519,88,125.52026666666666
1781208524,142,191.60753333333332
1781208529,142,232.06186666666667
1781208534,216,256
1781208539,281,278
1781208544,281,278
1781208549,348,264
1781208554,415,268
1781208559,415,268
1781208564,477,258
1781208569,561,216
1781208574,561,216
1781208579,596,162
1781208584,699,253.99586666666667
1781208589,699,275.4166666666667
1781208594,729,266
1781208599,786,174
1781208604,800,122
1781208609,800,122
1781208614,800,8
1781208619,800,0
1781208624,800,0
1781208629,800,0
1781208634,800,0
1781208639,800,0
1781208644,800,0
1781208649,800,0
1781208654,800,0
1781208659,800,0
1781208664,800,0
1781208669,800,0
1781208674,800,0
1781208679,800,0
1781208684,800,0
1781208689,800,0
1781208694,800,0
1781208699,800,0
1781208704,800,0
1781208709,800,0
1781208714,800,0
1781208719,800,0
1781208724,800,0
1781208729,800,0
1781208734,800,0
1781208739,800,0
