metric,mean,std,min,max,n
pod_seconds,4604.666666666667,128.97415761823504,4519.0,4753.0,3
scale_up_reaction_s,32.0,7.0,27.0,40.0,3
scale_down_reaction_s,98.33333333333333,1.5275252316519468,97.0,100.0,3
peak_connections,368.6666666666667,14.29452109492771,353.0,381.0,3
peak_replicas,9.0,0.0,9.0,9.0,3
