1777378641,2,,0,
1777378646,2,,0,
1777378651,2,,0,
1777378656,2,2,2,21500m
1777378661,2,2,2,21500m
1777378666,2,2,2,21500m
1777378672,2,2,2,86
1777378677,2,2,2,86
1777378682,2,2,2,86
1777378687,4,2,4,160
1777378692,4,2,4,160
1777378697,4,2,4,160
1777378702,5,4,5,110750m
1777378707,5,4,5,110750m
1777378712,5,4,5,110750m
1777378717,6,5,6,117
1777378722,6,5,6,117
1777378727,6,5,6,117
1777378733,8,6,8,120666m
1777378738,8,6,8,120666m
1777378743,8,6,8,120666m
1777378748,8,8,8,113571m
1777378753,8,8,8,113571m
1777378758,8,8,8,113571m
1777378763,8,8,8,100
1777378768,8,8,8,100
1777378773,8,8,8,100
1777378778,8,8,8,97750m
1777378784,8,8,8,97750m
1777378789,8,8,8,97750m
1777378794,8,8,8,94375m
1777378799,8,8,8,94375m
1777378804,8,8,8,94375m
1777378809,8,8,8,94375m
1777378814,8,8,8,94375m
1777378819,8,8,8,94375m
1777378824,8,8,8,94375m
1777378829,8,8,8,94375m
1777378835,8,8,8,94375m
1777378840,8,8,8,31375m
1777378845,8,8,8,31375m
1777378850,8,8,8,31375m
1777378855,8,8,8,0
1777378860,8,8,8,0
1777378865,8,8,8,0
1777378870,8,8,8,0
1777378875,8,8,8,0
1777378880,8,8,8,0
1777378885,8,8,8,0
1777378890,8,8,8,0
1777378895,8,8,8,0
1777378901,8,8,8,7125m
1777378906,8,8,8,7125m
1777378911,8,8,8,7125m
1777378916,8,8,8,23
1777378921,8,8,8,23
1777378926,8,8,8,23
1777378931,8,8,8,39875m
1777378936,8,8,8,39875m
1777378941,8,8,8,39875m
1777378946,6,8,6,58500m
1777378951,6,8,6,58500m
1777378956,5,6,5,79500m
1777378962,5,6,5,79500m
1777378967,5,6,5,79500m
1777378972,5,5,5,102800m
1777378977,5,5,5,102800m
1777378982,5,5,5,102800m
1777378987,7,5,7,136600m
1777378992,7,5,7,136600m
1777378997,7,5,7,136600m
1777379002,7,7,7,107428m
1777379007,7,7,7,107428m
1777379012,7,7,7,107428m
1777379017,7,7,7,105142m
1777379023,7,7,7,105142m
1777379028,7,7,7,105142m
1777379033,7,7,7,104714m
1777379038,7,7,7,104714m
1777379043,7,7,7,104714m
1777379048,7,7,7,104714m
1777379053,7,7,7,104714m
1777379058,7,7,7,104714m
1777379063,7,7,7,104714m
1777379068,7,7,7,104714m
1777379074,7,7,7,104714m
1777379079,7,7,7,19571m
1777379084,7,7,7,19571m
1777379089,7,7,7,19571m
1777379094,7,7,7,0
1777379099,7,7,7,0
1777379104,7,7,7,0
1777379109,7,7,7,0
1777379114,7,7,7,0
1777379119,7,7,7,0
1777379124,7,7,7,0
1777379130,7,7,7,0
1777379135,7,7,7,0
1777379140,7,7,7,0
1777379145,7,7,7,0
1777379150,7,7,7,0
1777379155,7,7,7,0
1777379160,7,7,7,0
1777379165,7,7,7,0
1777379170,7,7,7,0
1777379175,7,7,7,0
1777379180,7,7,7,0
1777379186,5,7,5,0
1777379191,5,7,5,0
1777379196,5,7,5,0
1777379201,3,5,3,0
1777379206,3,5,3,0
1777379211,3,5,3,0
1777379216,2,3,2,0
