LAST SEEN   TYPE     REASON                    OBJECT                                                MESSAGE
8m48s       Normal   Started                   pod/websocket-server-56c97f4c7-qcf77                  Started container websocket-server
8m48s       Normal   Created                   pod/websocket-server-56c97f4c7-szj9b                  Created container: websocket-server
8m48s       Normal   Pulled                    pod/websocket-server-56c97f4c7-szj9b                  Container image "websocket-server-instrumented:latest" already present on machine
8m48s       Normal   Pulled                    pod/websocket-server-56c97f4c7-qcf77                  Container image "websocket-server-instrumented:latest" already present on machine
8m48s       Normal   Created                   pod/websocket-server-56c97f4c7-qcf77                  Created container: websocket-server
8m34s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                 Created pod: websocket-server-56c97f4c7-8ktpx
8m34s       Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 5; reason: pods metric active_connections_per_pod above target
8m34s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-8ktpx                  Successfully assigned default/websocket-server-56c97f4c7-8ktpx to exp-d-hpa-custom-worker2
8m34s       Normal   ScalingReplicaSet         deployment/websocket-server                           Scaled up replica set websocket-server-56c97f4c7 to 5 from 4
8m33s       Normal   Pulled                    pod/websocket-server-56c97f4c7-8ktpx                  Container image "websocket-server-instrumented:latest" already present on machine
8m33s       Normal   Started                   pod/websocket-server-56c97f4c7-8ktpx                  Started container websocket-server
8m33s       Normal   Created                   pod/websocket-server-56c97f4c7-8ktpx                  Created container: websocket-server
8m19s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                 Created pod: websocket-server-56c97f4c7-n9qvr
8m19s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-n9qvr                  Successfully assigned default/websocket-server-56c97f4c7-n9qvr to exp-d-hpa-custom-worker
8m19s       Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 6; reason: pods metric active_connections_per_pod above target
8m19s       Normal   ScalingReplicaSet         deployment/websocket-server                           Scaled up replica set websocket-server-56c97f4c7 to 6 from 5
8m18s       Normal   Started                   pod/websocket-server-56c97f4c7-n9qvr                  Started container websocket-server
8m18s       Normal   Created                   pod/websocket-server-56c97f4c7-n9qvr                  Created container: websocket-server
8m18s       Normal   Pulled                    pod/websocket-server-56c97f4c7-n9qvr                  Container image "websocket-server-instrumented:latest" already present on machine
8m4s        Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 8; reason: pods metric active_connections_per_pod above target
8m4s        Normal   ScalingReplicaSet         deployment/websocket-server                           Scaled up replica set websocket-server-56c97f4c7 to 8 from 6
8m4s        Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                 Created pod: websocket-server-56c97f4c7-mdzjl
8m4s        Normal   Scheduled                 pod/websocket-server-56c97f4c7-mdzjl                  Successfully assigned default/websocket-server-56c97f4c7-mdzjl to exp-d-hpa-custom-worker2
8m4s        Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                 Created pod: websocket-server-56c97f4c7-4xfc5
8m4s        Normal   Scheduled                 pod/websocket-server-56c97f4c7-4xfc5                  Successfully assigned default/websocket-server-56c97f4c7-4xfc5 to exp-d-hpa-custom-worker
8m3s        Normal   Created                   pod/websocket-server-56c97f4c7-mdzjl                  Created container: websocket-server
8m3s        Normal   Started                   pod/websocket-server-56c97f4c7-mdzjl                  Started container websocket-server
8m3s        Normal   Pulled                    pod/websocket-server-56c97f4c7-4xfc5                  Container image "websocket-server-instrumented:latest" already present on machine
8m3s        Normal   Created                   pod/websocket-server-56c97f4c7-4xfc5                  Created container: websocket-server
8m3s        Normal   Started                   pod/websocket-server-56c97f4c7-4xfc5                  Started container websocket-server
8m3s        Normal   Pulled                    pod/websocket-server-56c97f4c7-mdzjl                  Container image "websocket-server-instrumented:latest" already present on machine
7m1s        Normal   Killing                   pod/websocket-loadgen-srgxk                           Stopping container websocket-loadgen
5m31s       Normal   SuccessfulCreate          job/websocket-loadgen                                 Created pod: websocket-loadgen-x2ccs
5m31s       Normal   Scheduled                 pod/websocket-loadgen-x2ccs                           Successfully assigned default/websocket-loadgen-x2ccs to exp-d-hpa-custom-worker2
5m30s       Normal   Created                   pod/websocket-loadgen-x2ccs                           Created container: websocket-loadgen
5m30s       Normal   Pulled                    pod/websocket-loadgen-x2ccs                           Container image "websocket-loadgen:latest" already present on machine
5m30s       Normal   Started                   pod/websocket-loadgen-x2ccs                           Started container websocket-loadgen
4m34s       Normal   Killing                   pod/websocket-server-56c97f4c7-mdzjl                  Stopping container websocket-server
4m34s       Normal   Killing                   pod/websocket-server-56c97f4c7-qcf77                  Stopping container websocket-server
4m34s       Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-qcf77
4m34s       Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-mdzjl
4m34s       Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 6; reason: All metrics below target
4m34s       Normal   ScalingReplicaSet         deployment/websocket-server                           Scaled down replica set websocket-server-56c97f4c7 to 6 from 8
4m19s       Normal   Killing                   pod/websocket-server-56c97f4c7-szj9b                  Stopping container websocket-server
4m19s       Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-szj9b
33s         Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 5; reason: All metrics below target
4m19s       Normal   ScalingReplicaSet         deployment/websocket-server                           Scaled down replica set websocket-server-56c97f4c7 to 5 from 6
3m48s       Normal   Created                   pod/websocket-server-56c97f4c7-c4jsx                  Created container: websocket-server
3m48s       Normal   ScalingReplicaSet         deployment/websocket-server                           Scaled up replica set websocket-server-56c97f4c7 to 7 from 5
3m48s       Normal   Created                   pod/websocket-server-56c97f4c7-cw77r                  Created container: websocket-server
3m48s       Normal   Pulled                    pod/websocket-server-56c97f4c7-cw77r                  Container image "websocket-server-instrumented:latest" already present on machine
3m48s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-c4jsx                  Successfully assigned default/websocket-server-56c97f4c7-c4jsx to exp-d-hpa-custom-worker2
3m48s       Normal   Pulled                    pod/websocket-server-56c97f4c7-c4jsx                  Container image "websocket-server-instrumented:latest" already present on machine
3m48s       Normal   Started                   pod/websocket-server-56c97f4c7-cw77r                  Started container websocket-server
3m48s       Normal   Started                   pod/websocket-server-56c97f4c7-c4jsx                  Started container websocket-server
3m48s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-cw77r                  Successfully assigned default/websocket-server-56c97f4c7-cw77r to exp-d-hpa-custom-worker2
3m48s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                 Created pod: websocket-server-56c97f4c7-cw77r
3m48s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                 (combined from similar events): Created pod: websocket-server-56c97f4c7-c4jsx
3m48s       Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 7; reason: pods metric active_connections_per_pod above target
3m1s        Normal   Killing                   pod/websocket-loadgen-x2ccs                           Stopping container websocket-loadgen
33s         Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-c4jsx
33s         Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-cw77r
33s         Normal   ScalingReplicaSet         deployment/websocket-server                           Scaled down replica set websocket-server-56c97f4c7 to 5 from 7
33s         Normal   Killing                   pod/websocket-server-56c97f4c7-cw77r                  Stopping container websocket-server
33s         Normal   Killing                   pod/websocket-server-56c97f4c7-c4jsx                  Stopping container websocket-server
18s         Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 3; reason: All metrics below target
18s         Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-4xfc5
18s         Normal   Killing                   pod/websocket-server-56c97f4c7-n9qvr                  Stopping container websocket-server
18s         Normal   Killing                   pod/websocket-server-56c97f4c7-4xfc5                  Stopping container websocket-server
18s         Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-n9qvr
3s          Normal   ScalingReplicaSet         deployment/websocket-server                           (combined from similar events): Scaled down replica set websocket-server-56c97f4c7 to 2 from 3
3s          Normal   SuccessfulRescale         horizontalpodautoscaler/websocket-hpa-custom-metric   New size: 2; reason: All metrics below target
3s          Normal   Killing                   pod/websocket-server-56c97f4c7-8ktpx                  Stopping container websocket-server
3s          Normal   SuccessfulDelete          replicaset/websocket-server-56c97f4c7                 Deleted pod: websocket-server-56c97f4c7-8ktpx
