timestamp,cpu_percent,replicas
1781207657,20.0,2
1781207662,20.0,2
1781207667,20.0,2
1781207672,1.0,2
1781207677,1.0,2
1781207682,1.0,2
1781207687,1.0,2
1781207692,1.0,2
1781207697,1.0,2
1781207702,9.0,2
1781207707,9.0,2
1781207712,9.0,2
1781207717,46.0,2
1781207722,46.0,2
1781207727,46.0,2
1781207732,81.0,2
1781207738,81.0,2
1781207743,81.0,2
1781207748,119.0,3
1781207753,119.0,3
1781207758,119.0,3
1781207763,131.0,4
1781207768,131.0,4
1781207773,131.0,4
1781207778,118.0,4
1781207783,118.0,4
1781207788,118.0,4
1781207793,105.0,6
1781207798,105.0,6
1781207803,105.0,6
1781207808,105.0,7
1781207813,105.0,7
1781207818,105.0,7
1781207823,44.0,7
1781207828,44.0,7
1781207833,44.0,7
1781207838,2.0,7
1781207843,2.0,7
1781207848,2.0,7
1781207853,2.0,7
1781207859,2.0,7
1781207864,2.0,7
1781207869,2.0,7
1781207874,2.0,7
1781207879,2.0,7
1781207884,2.0,5
1781207889,2.0,5
1781207894,2.0,5
1781207899,4.0,3
1781207904,4.0,3
1781207909,4.0,3
1781207914,4.0,3
1781207919,4.0,3
1781207924,4.0,3
1781207929,4.0,3
