timestamp,pod,cpu_millicores
1783192457,websocket-server-5d44fc8b6-5glcn,0
1783192457,websocket-server-5d44fc8b6-ctvwb,0
1783192462,websocket-server-5d44fc8b6-5glcn,0
1783192462,websocket-server-5d44fc8b6-ctvwb,0
1783192467,websocket-server-5d44fc8b6-5glcn,0
1783192467,websocket-server-5d44fc8b6-ctvwb,0
1783192473,websocket-server-5d44fc8b6-5glcn,0
1783192473,websocket-server-5d44fc8b6-ctvwb,0
1783192478,websocket-server-5d44fc8b6-5glcn,0
1783192478,websocket-server-5d44fc8b6-ctvwb,0
1783192483,websocket-loadgen-pjqpc,36
1783192483,websocket-server-5d44fc8b6-bdvrk,67
1783192483,websocket-server-5d44fc8b6-sdbwm,65
1783192488,websocket-loadgen-pjqpc,36
1783192488,websocket-server-5d44fc8b6-bdvrk,67
1783192488,websocket-server-5d44fc8b6-sdbwm,65
1783192493,websocket-loadgen-pjqpc,36
1783192493,websocket-server-5d44fc8b6-bdvrk,67
1783192493,websocket-server-5d44fc8b6-sdbwm,65
1783192498,websocket-loadgen-pjqpc,49
1783192498,websocket-server-5d44fc8b6-bdvrk,169
1783192498,websocket-server-5d44fc8b6-sdbwm,141
1783192503,websocket-loadgen-pjqpc,49
1783192503,websocket-server-5d44fc8b6-bdvrk,169
1783192503,websocket-server-5d44fc8b6-sdbwm,141
1783192508,websocket-loadgen-pjqpc,49
1783192508,websocket-server-5d44fc8b6-bdvrk,169
1783192508,websocket-server-5d44fc8b6-sdbwm,141
1783192513,websocket-loadgen-pjqpc,58
1783192513,websocket-server-5d44fc8b6-bdvrk,169
1783192513,websocket-server-5d44fc8b6-sdbwm,230
1783192513,websocket-server-5d44fc8b6-tnrnw,81
1783192519,websocket-loadgen-pjqpc,58
1783192519,websocket-server-5d44fc8b6-bdvrk,169
1783192519,websocket-server-5d44fc8b6-sdbwm,230
1783192519,websocket-server-5d44fc8b6-tnrnw,81
1783192524,websocket-loadgen-pjqpc,73
1783192524,websocket-server-5d44fc8b6-bdvrk,273
1783192524,websocket-server-5d44fc8b6-drj5f,73
1783192524,websocket-server-5d44fc8b6-sdbwm,288
1783192524,websocket-server-5d44fc8b6-tnrnw,97
1783192529,websocket-loadgen-pjqpc,73
1783192529,websocket-server-5d44fc8b6-bdvrk,273
1783192529,websocket-server-5d44fc8b6-drj5f,73
1783192529,websocket-server-5d44fc8b6-sdbwm,288
1783192529,websocket-server-5d44fc8b6-tnrnw,97
1783192534,websocket-loadgen-pjqpc,73
1783192534,websocket-server-5d44fc8b6-bdvrk,273
1783192534,websocket-server-5d44fc8b6-drj5f,73
1783192534,websocket-server-5d44fc8b6-sdbwm,288
1783192534,websocket-server-5d44fc8b6-tnrnw,97
1783192539,websocket-loadgen-pjqpc,96
1783192539,websocket-server-5d44fc8b6-bdvrk,364
1783192539,websocket-server-5d44fc8b6-drj5f,67
1783192539,websocket-server-5d44fc8b6-jqbxm,68
1783192539,websocket-server-5d44fc8b6-mmrg4,70
1783192539,websocket-server-5d44fc8b6-sdbwm,341
1783192539,websocket-server-5d44fc8b6-tnrnw,153
1783192544,websocket-loadgen-pjqpc,96
1783192544,websocket-server-5d44fc8b6-bdvrk,364
1783192544,websocket-server-5d44fc8b6-drj5f,67
1783192544,websocket-server-5d44fc8b6-jqbxm,68
1783192544,websocket-server-5d44fc8b6-mmrg4,70
1783192544,websocket-server-5d44fc8b6-sdbwm,341
1783192544,websocket-server-5d44fc8b6-tnrnw,153
1783192549,websocket-loadgen-pjqpc,96
1783192549,websocket-server-5d44fc8b6-bdvrk,364
1783192549,websocket-server-5d44fc8b6-drj5f,67
1783192549,websocket-server-5d44fc8b6-jqbxm,68
1783192549,websocket-server-5d44fc8b6-mmrg4,70
1783192549,websocket-server-5d44fc8b6-sdbwm,341
1783192549,websocket-server-5d44fc8b6-tnrnw,153
1783192554,websocket-server-5d44fc8b6-6j9qg,63
1783192554,websocket-server-5d44fc8b6-7zd4n,73
1783192554,websocket-server-5d44fc8b6-bdvrk,390
1783192554,websocket-server-5d44fc8b6-drj5f,106
1783192554,websocket-server-5d44fc8b6-jqbxm,53
1783192554,websocket-server-5d44fc8b6-mmrg4,53
1783192554,websocket-server-5d44fc8b6-sdbwm,363
1783192554,websocket-server-5d44fc8b6-tnrnw,180
1783192560,websocket-server-5d44fc8b6-6j9qg,63
1783192560,websocket-server-5d44fc8b6-7zd4n,73
