timestamp,cpu_millicores
1781208870,38
1781208875,19
1781208880,19
1781208885,19
1781208890,2
1781208895,2
1781208900,2
1781208905,10
1781208910,10
1781208915,10
1781208920,75
1781208926,75
1781208931,75
1781208936,144
1781208941,144
1781208946,144
1781208951,254
1781208956,254
1781208961,254
1781208966,347
1781208971,347
1781208976,347
1781208981,448
1781208986,448
1781208991,448
1781208996,485
1781209001,485
1781209006,485
1781209011,451
1781209016,451
1781209021,451
1781209026,75
1781209032,75
1781209037,75
1781209042,16
1781209047,16
1781209052,16
1781209057,15
1781209062,15
1781209067,15
1781209072,16
1781209077,16
1781209082,16
1781209087,16
1781209092,16
1781209097,16
1781209102,16
1781209107,16
1781209112,16
1781209117,15
1781209122,15
1781209127,15
