timestamp,cpu_millicores
1781204103,18
1781204108,18
1781204113,2
1781204118,2
1781204123,2
1781204128,3
1781204133,3
1781204138,3
1781204143,39
1781204148,39
1781204153,39
1781204158,111
1781204163,111
1781204168,111
1781204173,179
1781204178,179
1781204183,179
1781204188,244
1781204193,244
1781204198,244
1781204204,328
1781204209,328
1781204214,328
1781204219,394
1781204224,394
1781204229,394
1781204234,421
1781204239,421
1781204244,421
1781204249,420
1781204254,420
1781204259,420
1781204264,148
1781204269,148
