timestamp,active_connections,reconnect_rate
1781206897,0,0
1781206902,0,0
1781206907,0,0
1781206912,0,0
1781206917,0,0
1781206922,9,11.760000000000002
1781206927,48,65.2844
1781206932,48,81.3292
1781206937,121,181.1916
1781206942,182,247.1884
1781206947,182,268
1781206952,249,256
1781206957,321,278
1781206962,321,278
1781206967,374,250
1781206972,460,248
1781206977,460,248
1781206982,509,240
1781206987,601,250.5104
1781206992,601,266.5552
1781206997,650,282
1781207002,736,252
1781207007,736,252
1781207012,763,208
1781207017,800,104
1781207022,800,104
1781207027,800,50
1781207032,800,0
1781207037,800,0
1781207042,800,0
1781207047,800,0
1781207052,800,0
1781207057,800,0
1781207062,800,0
1781207067,800,0
1781207072,800,0
1781207077,800,0
1781207082,800,0
1781207087,800,0
1781207092,800,0
