timestamp,active_connections
1783196437,0
1783196442,20
1783196447,48
1783196452,65
1783196457,90
1783196462,110
1783196467,137
1783196472,159
1783196477,178
1783196482,200
1783196487,227
1783196492,243
1783196497,261
1783196502,274
1783196507,292
1783196514,305
1783196519,311
1783196524,322
1783196530,0
1783196535,0
1783196540,0
1783196545,0
1783196550,0
1783196555,0
1783196560,0
1783196565,0
1783196571,0
1783196576,0
1783196581,0
1783196586,0
1783196591,2
1783196596,8
1783196601,11
1783196606,13
1783196611,19
1783196616,42
1783196621,63
1783196626,81
1783196631,101
1783196636,123
1783196641,153
1783196646,249
1783196651,294
1783196656,314
1783196662,335
1783196669,353
1783196676,307
1783196684,0
1783196689,0
1783196694,0
1783196699,0
1783196704,0
1783196709,0
1783196714,0
1783196719,0
1783196724,0
1783196729,0
1783196734,0
1783196739,0
1783196744,9
1783196749,12
1783196754,17
1783196759,21
1783196764,37
1783196769,59
1783196774,80
1783196779,104
1783196784,125
1783196789,146
1783196794,200
1783196799,275
1783196804,298
1783196810,312
1783196815,324
1783196820,331
1783196825,340
1783196832,0
1783196837,0
1783196842,0
1783196847,0
1783196852,0
1783196857,0
1783196862,0
1783196867,0
1783196872,0
1783196877,0
1783196882,0
1783196887,0
1783196892,4
1783196897,7
1783196902,8
1783196907,11
1783196912,19
1783196917,42
1783196922,66
1783196927,91
1783196932,110
1783196937,139
1783196942,158
1783196947,254
1783196952,278
1783196957,297
1783196964,319
1783196969,326
1783196976,341
1783196983,0
1783196989,0
1783196994,0
1783196999,0
1783197004,0
1783197009,0
1783197014,0
1783197019,0
1783197024,0
1783197029,0
1783197034,0
1783197039,0
1783197044,5
1783197049,8
1783197054,16
1783197059,20
1783197064,32
1783197069,48
1783197074,64
1783197079,90
1783197084,112
1783197089,139
1783197094,177
1783197099,266
1783197104,287
1783197109,310
1783197115,326
1783197122,345
1783197129,0
1783197135,0
1783197140,0
1783197145,0
1783197150,0
1783197155,0
1783197160,0
1783197165,0
1783197170,0
1783197175,0
1783197180,0
1783197185,0
1783197190,0
1783197195,0
1783197200,0
1783197205,0
1783197210,0
1783197215,0
1783197221,0
1783197226,0
1783197231,0
1783197236,0
1783197241,0
1783197246,0
1783197251,0
1783197256,0
1783197261,0
1783197266,0
1783197271,0
