timestamp,cpu_millicores
1781209278,17
1781209283,2
1781209288,2
1781209293,2
1781209298,2
1781209303,2
1781209308,2
1781209313,11
1781209318,11
1781209323,11
1781209328,84
1781209333,84
1781209338,84
1781209343,174
1781209349,174
1781209354,174
1781209359,212
1781209364,212
1781209369,212
1781209374,295
1781209379,295
1781209384,295
1781209389,387
1781209394,387
1781209399,387
1781209404,436
1781209409,436
1781209414,436
1781209419,468
1781209424,468
1781209429,468
1781209434,301
1781209439,301
1781209444,301
1781209449,19
1781209455,19
1781209460,19
1781209465,15
1781209470,15
1781209475,15
1781209480,15
1781209485,15
1781209490,15
1781209495,15
1781209500,15
1781209505,15
1781209510,16
1781209515,16
1781209520,16
1781209525,16
1781209530,16
1781209535,16
