timestamp,cpu_percent,replicas
1781204717,0.0,2
1781204722,0.0,2
1781204727,25.0,2
1781204732,25.0,2
1781204737,25.0,2
1781204742,1.0,2
1781204747,1.0,2
1781204752,1.0,2
1781204757,4.0,2
1781204762,4.0,2
1781204767,4.0,2
1781204772,35.0,2
1781204777,35.0,2
1781204782,35.0,2
1781204787,71.0,2
1781204792,71.0,2
1781204797,71.0,2
1781204803,108.0,3
1781204808,108.0,3
1781204813,108.0,3
1781204818,108.0,4
1781204823,108.0,4
1781204828,108.0,4
1781204833,87.0,6
1781204838,87.0,6
1781204843,87.0,6
1781204848,69.0,6
1781204853,69.0,6
1781204858,69.0,6
1781204863,73.0,7
1781204868,73.0,7
1781204873,73.0,7
1781204878,61.0,7
1781204883,61.0,7
