timestamp,active_connections,reconnect_rate
1781204717,0,0
1781204722,0,0
1781204727,0,0
1781204732,0,0
1781204737,10,10.218
1781204742,10,13.562000000000001
1781204747,49,66.27153333333334
1781204752,111,135.94693333333333
1781204757,111,169.70786666666666
1781204762,177,237.73986666666667
1781204767,259,288.30693333333335
1781204772,259,296
1781204777,310,266
1781204782,376,234
1781204787,376,234
1781204792,447,274
1781204797,501,250
1781204802,501,250
1781204807,582,196
1781204812,619,162
1781204817,680,240.0328
1781204822,722,224
1781204827,754,198
1781204832,791,190.00000000000003
1781204837,800,140
1781204842,800,92
1781204847,800,18
1781204852,800,0
1781204857,800,0
1781204862,800,0
1781204867,800,0
1781204872,800,0
1781204877,800,0
1781204882,800,0
