timestamp,active_connections
1783191657,0
1783191662,16
1783191667,33
1783191672,55
1783191677,83
1783191682,102
1783191687,127
1783191692,153
1783191697,178
1783191702,202
1783191707,226
1783191712,247
1783191717,261
1783191722,278
1783191727,291
1783191732,301
1783191737,308
1783191742,319
1783191747,0
1783191753,2
1783191758,10
1783191763,16
1783191768,19
1783191773,28
1783191778,35
1783191783,37
1783191788,43
1783191793,51
1783191798,57
1783191803,64
1783191808,71
1783191813,79
1783191818,82
1783191823,89
1783191828,96
1783191833,103
1783191838,0
1783191843,8
1783191848,14
1783191853,18
1783191858,22
1783191863,24
1783191868,28
1783191873,31
1783191878,36
1783191883,40
1783191888,42
1783191893,49
1783191898,53
1783191903,57
1783191908,62
1783191914,68
1783191919,71
1783191924,73
1783191929,0
1783191934,7
1783191939,16
1783191944,19
1783191949,22
1783191954,28
1783191959,32
1783191964,38
1783191969,42
1783191974,46
1783191979,52
1783191984,57
1783191989,60
1783191994,66
1783191999,71
1783192004,73
1783192009,79
1783192014,85
1783192019,0
1783192024,4
1783192029,10
1783192034,14
1783192039,19
1783192044,24
1783192049,29
1783192054,39
1783192059,51
1783192064,55
1783192069,57
1783192074,67
1783192079,72
1783192084,76
1783192089,82
1783192094,86
1783192099,87
1783192104,93
1783192109,0
1783192114,0
1783192119,0
1783192124,0
1783192129,0
1783192134,0
1783192139,0
1783192144,0
1783192149,0
1783192154,0
1783192159,0
1783192164,0
1783192169,0
1783192174,0
1783192179,0
1783192184,0
1783192189,0
1783192195,0
1783192200,0
1783192205,0
1783192210,0
1783192215,0
1783192220,0
1783192225,0
1783192230,0
1783192235,0
1783192240,0
1783192245,0
1783192250,0
1783192255,0
1783192260,0
1783192265,0
1783192270,0
1783192275,0
1783192280,0
1783192285,0
1783192290,0
1783192295,0
1783192300,0
1783192305,0
1783192310,0
1783192315,0
1783192320,0
1783192325,0
1783192330,0
1783192335,0
1783192340,0
1783192345,0
1783192350,0
1783192355,0
1783192360,0
1783192365,0
1783192370,0
1783192375,0
1783192380,0
1783192385,0
1783192390,0
1783192395,0
1783192400,0
1783192405,0
1783192410,0
1783192415,0
1783192420,0
1783192425,0
1783192430,0
1783192435,0
1783192440,0
1783192445,0
