timestamp,active_connections
1783197574,0
1783197579,13
1783197584,35
1783197589,59
1783197594,79
1783197599,99
1783197604,119
1783197609,139
1783197614,162
1783197619,175
1783197624,187
1783197629,199
1783197634,212
1783197639,224
1783197644,233
1783197649,243
1783197654,248
1783197659,253
1783197664,0
1783197669,0
1783197675,0
1783197680,0
1783197685,0
1783197690,0
1783197695,0
1783197700,0
1783197705,0
1783197710,0
1783197715,0
1783197720,0
1783197725,0
1783197730,5
1783197735,8
1783197740,15
1783197745,21
1783197750,25
1783197755,39
1783197760,51
1783197765,63
1783197770,82
1783197775,107
1783197780,145
1783197785,217
1783197790,235
1783197795,268
1783197800,333
1783197807,357
1783197814,0
1783197822,0
1783197827,0
1783197832,0
1783197837,0
1783197842,0
1783197847,0
1783197852,0
1783197857,0
1783197862,0
1783197867,0
1783197872,0
1783197877,4
1783197882,9
1783197887,11
1783197892,14
1783197897,19
1783197902,24
1783197907,27
1783197912,31
1783197917,36
1783197922,40
1783197927,45
1783197932,72
1783197937,90
1783197942,100
1783197947,114
1783197952,131
1783197958,151
1783197963,236
1783197968,0
1783197973,0
1783197978,0
1783197983,0
1783197988,0
1783197993,0
1783197998,0
1783198003,0
1783198008,0
1783198013,0
1783198018,0
1783198023,0
1783198028,2
1783198033,9
1783198038,13
1783198043,27
1783198048,29
1783198053,35
1783198058,43
1783198063,49
1783198068,69
1783198073,94
1783198078,111
1783198083,131
1783198088,156
1783198093,180
1783198098,317
1783198104,350
1783198109,381
1783198116,0
1783198121,0
1783198126,0
1783198131,0
1783198136,0
1783198141,0
1783198146,0
1783198151,0
1783198156,0
1783198161,0
1783198166,0
1783198171,0
1783198176,1
1783198181,6
1783198186,9
1783198191,17
1783198196,23
1783198202,31
1783198207,35
1783198212,42
1783198217,56
1783198222,76
1783198227,90
1783198232,110
1783198237,132
1783198242,159
1783198247,243
1783198252,314
1783198257,347
1783198263,366
1783198268,0
1783198273,0
1783198278,0
1783198283,0
1783198288,0
1783198293,0
1783198298,0
1783198303,0
1783198308,0
1783198314,0
1783198319,0
1783198324,0
1783198329,0
1783198334,0
1783198339,0
1783198344,0
1783198349,0
1783198354,0
1783198359,0
1783198364,0
1783198369,0
1783198374,0
1783198379,0
1783198384,0
1783198389,0
1783198394,0
