config,stabilization_window_s,gap_duration_s,gap_relation,n_runs,connections_before_mean,connections_before_std,connections_after_mean,connections_after_std,pct_lost_mean,pct_lost_std,survived_ratio,connections_survived
window120s_gap105s,120,105,below,3,798.3,2.9,800.0,0.0,-0.2,0.3,3/3,True
window120s_gap180s,120,180,above,3,800.0,0.0,716.7,45.0,10.4,5.6,1/3,False
window300s_gap285s,300,285,below,3,800.0,0.0,800.0,0.0,0.0,0.0,3/3,True
window300s_gap360s,300,360,above,3,800.0,0.0,534.3,223.8,33.2,28.0,1/3,False
window30s_gap15s,30,15,below,3,800.0,0.0,800.0,0.0,0.0,0.0,3/3,True
window30s_gap90s,30,90,above,3,800.0,0.0,758.7,50.1,5.2,6.2,2/3,False
window60s_gap120s,60,120,above,3,800.0,0.0,718.3,57.5,10.2,7.2,2/3,False
window60s_gap45s,60,45,below,3,800.0,0.0,800.0,0.0,0.0,0.0,3/3,True
