timestamp,cpu_percent,replicas
1781205029,1.0,2
1781205034,1.0,2
1781205039,1.0,2
1781205044,1.0,2
1781205049,1.0,2
1781205054,1.0,2
1781205059,1.0,2
1781205064,1.0,2
1781205069,1.0,2
1781205074,11.0,2
1781205079,11.0,2
1781205084,11.0,2
1781205089,30.0,2
1781205094,30.0,2
1781205099,30.0,2
1781205104,81.0,2
1781205109,81.0,2
1781205115,81.0,2
1781205120,103.0,3
1781205125,103.0,3
1781205130,103.0,3
1781205135,106.0,4
1781205140,106.0,4
1781205145,106.0,4
1781205150,90.0,6
1781205155,90.0,6
1781205160,90.0,6
1781205165,83.0,6
1781205170,83.0,6
1781205175,83.0,6
1781205180,70.0,7
1781205185,70.0,7
1781205190,70.0,7
1781205195,23.0,7
1781205200,23.0,7
1781205205,23.0,7
1781205210,2.0,7
1781205215,2.0,7
1781205220,2.0,7
1781205225,3.0,3
1781205231,3.0,3
1781205236,3.0,3
1781205241,3.0,3
1781205246,3.0,3
1781205251,3.0,3
1781205256,3.0,3
1781205261,3.0,3
1781205266,3.0,3
1781205271,3.0,3
