1777387976,0,0
1777387981,3,0
1777387986,3,0
1777387991,63,0
1777387996,137,0
1777388001,137,0
1777388006,194,0
1777388011,266,0
1777388016,266,0
1777388021,344,0
1777388026,390,0
1777388031,390,0
1777388036,473,0
1777388041,526,0
1777388046,526,0
1777388051,585,0
1777388056,671,0
1777388061,671,0
1777388066,714,0
1777388071,792,0
1777388077,792,0
1777388082,800,0
1777388087,800,0
1777388092,800,0
1777388097,800,0
1777388102,797,0
1777388107,797,0
1777388112,772,0
1777388117,755,0
1777388122,755,0
1777388127,755,0
1777388132,755,0
1777388137,755,0
1777388142,755,0
1777388147,755,0
1777388152,755,0
1777388157,679,0
1777388162,363,0
1777388167,363,0
1777388172,0,0
1777388177,0,0
1777388182,0,0
1777388187,0,0
1777388192,0,0
1777388197,0,0
1777388203,0,0
1777388208,0,0
1777388213,0,0
1777388218,0,0
1777388223,9,0
1777388228,9,0
1777388233,85,0
1777388238,131,0
1777388243,131,0
1777388248,216,0
1777388253,273,0
1777388258,273,0
1777388263,354,0
1777388268,402,0
1777388273,420,0
1777388278,483,0
1777388283,533,0
1777388288,549,0
1777388293,612,0
1777388298,663,0
1777388303,678,0
1777388308,748,0
1777388313,792,0
1777388319,792,0
1777388324,800,0
1777388329,800,0
1777388334,800,0
1777388339,800,0
1777388344,791,0
1777388349,782,0
1777388354,765,0
1777388359,755,0
1777388364,755,0
1777388369,755,0
1777388374,755,0
1777388379,755,0
1777388384,755,0
1777388389,755,0
1777388394,755,0
1777388399,384,0
1777388404,287,0
1777388409,104,0
1777388414,0,0
1777388419,0,0
1777388424,0,0
1777388429,0,0
1777388434,0,0
1777388439,0,0
1777388445,0,0
1777388450,0,0
1777388455,0,0
1777388460,0,0
1777388465,0,0
1777388470,0,0
1777388475,0,0
1777388480,0,0
1777388485,0,0
1777388490,0,0
1777388495,0,0
1777388500,0,0
1777388505,0,0
1777388510,0,0
1777388515,0,0
1777388520,0,0
1777388525,0,0
1777388530,0,0
1777388535,0,0
1777388540,0,0
1777388545,0,0
