LAST SEEN   TYPE     REASON                    OBJECT                                                   MESSAGE
8m28s       Normal   SuccessfulRescale         horizontalpodautoscaler/keda-hpa-websocket-keda-scaler   New size: 6; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: websocket-keda-scaler,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
8m28s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-9lmtl
8m28s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-96n49
8m28s       Normal   Created                   pod/websocket-server-56c97f4c7-9lmtl                     Created container: websocket-server
8m28s       Normal   Pulled                    pod/websocket-server-56c97f4c7-9lmtl                     Container image "websocket-server-instrumented:latest" already present on machine
8m28s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-9lmtl                     Successfully assigned default/websocket-server-56c97f4c7-9lmtl to exp-e-keda-worker
8m28s       Normal   Started                   pod/websocket-server-56c97f4c7-96n49                     Started container websocket-server
8m28s       Normal   Started                   pod/websocket-server-56c97f4c7-9lmtl                     Started container websocket-server
8m28s       Normal   Created                   pod/websocket-server-56c97f4c7-96n49                     Created container: websocket-server
7m58s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-kqz4q                     Successfully assigned default/websocket-server-56c97f4c7-kqz4q to exp-e-keda-worker
7m58s       Normal   Started                   pod/websocket-server-56c97f4c7-sjsqr                     Started container websocket-server
7m58s       Normal   Pulled                    pod/websocket-server-56c97f4c7-sjsqr                     Container image "websocket-server-instrumented:latest" already present on machine
7m58s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-sjsqr                     Successfully assigned default/websocket-server-56c97f4c7-sjsqr to exp-e-keda-worker
7m58s       Normal   Created                   pod/websocket-server-56c97f4c7-sjsqr                     Created container: websocket-server
7m58s       Normal   ScalingReplicaSet         deployment/websocket-server                              Scaled up replica set websocket-server-56c97f4c7 to 8 from 6
7m58s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-kqz4q
7m58s       Normal   Pulled                    pod/websocket-server-56c97f4c7-kqz4q                     Container image "websocket-server-instrumented:latest" already present on machine
7m58s       Normal   SuccessfulRescale         horizontalpodautoscaler/keda-hpa-websocket-keda-scaler   New size: 8; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: websocket-keda-scaler,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
7m58s       Normal   Started                   pod/websocket-server-56c97f4c7-kqz4q                     Started container websocket-server
7m58s       Normal   Created                   pod/websocket-server-56c97f4c7-kqz4q                     Created container: websocket-server
7m58s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-sjsqr
7m          Normal   Killing                   pod/websocket-loadgen-g78g7                              Stopping container websocket-loadgen
5m30s       Normal   SuccessfulCreate          job/websocket-loadgen                                    Created pod: websocket-loadgen-xcct9
5m30s       Normal   Scheduled                 pod/websocket-loadgen-xcct9                              Successfully assigned default/websocket-loadgen-xcct9 to exp-e-keda-worker
5m30s       Normal   Pulled                    pod/websocket-loadgen-xcct9                              Container image "websocket-loadgen:latest" already present on machine
5m30s       Normal   Created                   pod/websocket-loadgen-xcct9                              Created container: websocket-loadgen
5m30s       Normal   Started                   pod/websocket-loadgen-xcct9                              Started container websocket-loadgen
3m          Normal   Killing                   pod/websocket-loadgen-xcct9                              Stopping container websocket-loadgen
