1777387973,2,,0
1777387978,2,2,2
1777387983,2,2,2
1777387988,2,2,2
1777387993,2,2,2
1777387998,2,2,2
1777388003,2,2,2
1777388008,3,2,3
1777388013,3,2,3
1777388019,3,2,3
1777388024,4,3,4
1777388029,4,3,4
1777388034,4,3,4
1777388039,6,4,6
1777388044,6,4,6
1777388049,6,4,6
1777388054,6,6,6
1777388059,6,6,6
1777388064,6,6,6
1777388069,8,6,8
1777388075,8,6,8
1777388080,8,6,8
1777388085,8,8,8
1777388090,8,8,8
1777388095,8,8,8
1777388100,8,8,8
1777388105,8,8,8
1777388110,8,8,8
1777388115,8,8,8
1777388120,8,8,8
1777388125,8,8,8
1777388131,8,8,8
1777388136,8,8,8
1777388141,8,8,8
1777388146,8,8,8
1777388151,8,8,8
1777388156,8,8,8
1777388161,8,8,8
1777388166,8,8,8
1777388171,8,8,8
1777388176,8,8,8
1777388181,8,8,8
1777388187,8,8,8
1777388192,8,8,8
1777388197,8,8,8
1777388202,8,8,8
1777388207,8,8,8
1777388212,8,8,8
1777388217,8,8,8
1777388222,8,8,8
1777388227,8,8,8
1777388232,8,8,8
1777388237,8,8,8
1777388243,8,8,8
1777388248,8,8,8
1777388253,8,8,8
1777388258,8,8,8
1777388263,8,8,8
1777388268,8,8,8
1777388273,8,8,8
1777388278,8,8,8
1777388283,8,8,8
1777388289,8,8,8
1777388294,8,8,8
1777388299,8,8,8
1777388304,8,8,8
1777388309,8,8,8
1777388314,8,8,8
1777388319,8,8,8
1777388324,8,8,8
1777388329,8,8,8
1777388334,8,8,8
1777388339,8,8,8
1777388345,8,8,8
1777388350,8,8,8
1777388355,8,8,8
1777388360,8,8,8
1777388365,8,8,8
1777388370,8,8,8
1777388375,8,8,8
1777388380,8,8,8
1777388385,8,8,8
1777388390,8,8,8
1777388395,8,8,8
1777388401,8,8,8
1777388406,8,8,8
1777388411,8,8,8
1777388416,8,8,8
1777388421,8,8,8
1777388426,8,8,8
1777388431,8,8,8
1777388436,8,8,8
1777388441,8,8,8
1777388446,8,8,8
1777388452,8,8,8
1777388457,8,8,8
1777388462,8,8,8
1777388467,8,8,8
1777388472,8,8,8
1777388477,8,8,8
1777388482,8,8,8
1777388487,8,8,8
1777388492,8,8,8
1777388497,8,8,8
1777388502,8,8,8
1777388508,8,8,8
1777388513,8,8,8
1777388518,8,8,8
1777388523,8,8,8
1777388528,8,8,8
1777388533,8,8,8
1777388538,8,8,8
1777388543,8,8,8
