timestamp,cpu_millicores
1773119698,102
1773119703,102
1773119708,102
1773119713,42
1773119718,42
1773119724,42
1773119729,4
1773119734,4
1773119739,4
1773119744,142
1773119749,142
1773119754,142
1773119759,336
1773119764,336
1773119769,336
1773119775,515
1773119780,515
1773119785,697
1773119790,697
1773119795,697
1773119800,912
1773119805,912
1773119810,912
1773119816,1022
1773119821,1022
1773119826,1022
1773119831,1068
1773119836,1068
1773119841,1068
1773119846,658
1773119851,658
1773119856,658
1773119862,122
1773119867,122
1773119872,122
1773119877,32
1773119882,32
1773119887,32
1773119892,33
1773119897,33
1773119902,33
1773119907,33
1773119913,33
1773119918,33
1773119923,32
1773119928,29
1773119933,29
1773119938,30
1773119943,30
1773119948,30
1773119953,28
1773119958,28
1773119964,28
1773119969,29
1773119974,29
1773119979,29
1773119984,29
1773119989,18
1773119994,18
1773119999,20
1773120004,20
1773120009,20
1773120015,18
1773120020,18
1773120025,18
1773120030,18
1773120035,18
1773120040,19
1773120045,19
1773120050,4
1773120055,4
1773120061,4
1773120066,4
1773120071,4
1773120076,4
1781201454,50
1781201459,50
1781201464,50
1781201469,20
1781201474,20
1781201479,20
1781201484,4
1781201489,4
1781201494,4
1781201499,57
1781201504,57
1781201510,57
1781201515,140
1781201520,140
1781201525,140
1781201530,208
1781201535,208
1781201540,208
1781201545,278
1781201550,278
1781201555,278
1781201560,336
1781201565,336
1781201570,336
1781201575,401
1781201580,401
1781201585,401
1781201590,452
1781201595,452
1781201600,452
1781201606,394
1781201611,394
1781201616,394
1781201621,21
1781201626,21
1781201631,21
1781201636,21
1781201641,21
1781201646,21
1781201651,16
1781201656,16
1781201661,15
1781201666,15
1781201671,15
1781201676,16
1781201681,16
1781201686,16
1781201691,16
1781201696,16
1781201701,12
1781201706,12
1781201711,12
1781201717,12
1781201722,12
1781201727,12
1781201732,12
1781201737,12
1781201742,12
1781201747,12
1781201752,12
1781201757,12
1781201762,10
1781201767,10
1781201772,10
1781201777,10
1781201782,10
1781201787,10
1781201792,10
1781201797,10
