timestamp,active_connections,reconnect_rate
1781204102,0,0
1781204107,0,0
1781204112,0,0
1781204118,0,0
1781204123,0,0
1781204128,0,0
1781204133,31,39.126133333333335
1781204138,107,137.58966666666666
1781204143,107,173.37046666666666
1781204148,173,253.41666666666669
1781204153,235,256
1781204158,235,256
1781204163,307,268
1781204168,366,262
1781204173,366,262
1781204178,437,260
1781204183,499,266
1781204188,525,266
1781204193,577,228
1781204198,625,176
1781204203,665,250.89866666666666
1781204208,688,198
1781204213,767,219.21533333333332
1781204218,786,182
1781204223,800,164
1781204228,800,66
1781204233,800,28
1781204238,800,0
1781204243,800,0
1781204248,800,0
1781204253,800,0
1781204258,800,0
1781204263,800,0
1781204268,800,0
