timestamp,cpu_percent,replicas
1781213543,0.0,2
1781213548,0.0,2
1781213553,0.0,2
1781213558,1.0,2
1781213563,1.0,2
1781213568,1.0,2
1781213573,1.0,2
1781213578,1.0,2
1781213583,1.0,2
1781213588,14.0,2
1781213593,14.0,2
1781213598,14.0,2
1781213603,52.0,2
1781213608,52.0,2
1781213613,52.0,2
1781213618,86.0,2
1781213623,86.0,2
1781213629,86.0,2
1781213634,118.0,3
1781213639,118.0,3
1781213644,118.0,3
1781213649,105.0,4
1781213654,105.0,4
1781213659,105.0,4
1781213664,126.0,6
1781213669,126.0,6
1781213674,126.0,6
1781213679,85.0,6
1781213684,85.0,6
1781213689,85.0,6
1781213694,72.0,8
1781213699,72.0,8
1781213704,72.0,8
1781213709,29.0,8
1781213714,29.0,8
1781213719,29.0,8
1781213724,2.0,8
1781213729,2.0,8
1781213734,2.0,8
1781213739,2.0,8
1781213744,2.0,8
1781213750,2.0,8
1781213755,2.0,8
1781213760,2.0,8
1781213765,2.0,8
1781213770,2.0,8
1781213775,2.0,8
1781213780,2.0,8
1781213785,2.0,8
1781213790,2.0,8
1781213795,2.0,8
1781213800,2.0,8
1781213805,2.0,8
1781213810,2.0,8
1781213815,2.0,8
1781213820,2.0,8
1781213825,2.0,8
1781213830,2.0,8
1781213835,2.0,8
1781213840,2.0,8
1781213845,2.0,8
1781213850,2.0,8
1781213855,2.0,8
1781213860,2.0,8
1781213865,2.0,8
1781213871,2.0,8
1781213876,2.0,8
1781213881,2.0,8
1781213886,2.0,8
1781213891,2.0,8
1781213896,2.0,8
1781213901,2.0,8
1781213906,2.0,8
1781213911,2.0,8
1781213916,2.0,8
1781213921,2.0,8
1781213926,2.0,8
1781213931,2.0,8
1781213936,2.0,8
1781213941,2.0,8
1781213946,2.0,8
1781213951,2.0,8
1781213956,2.0,8
1781213961,2.0,8
1781213966,2.0,8
1781213971,2.0,8
1781213976,2.0,8
1781213981,2.0,8
1781213986,2.0,8
1781213991,2.0,8
1781213997,2.0,8
1781214002,2.0,8
1781214007,3.0,4
1781214012,3.0,4
1781214017,3.0,4
1781214022,3.0,4
1781214027,3.0,4
1781214032,3.0,4
1781214037,3.0,4
1781214042,3.0,4
1781214047,3.0,4
1781214052,3.0,4
