timestamp,cpu_millicores
1783198729,100
1783198734,88
1783198739,88
1783198744,88
1783198749,48
1783198754,48
1783198759,48
1783198764,263
1783198770,263
1783198775,263
1783198780,667
1783198785,667
1783198790,667
1783198795,1154
1783198800,1154
1783198806,1154
1783198811,1705
1783198816,1705
1783198821,1705
1783198826,1373
1783198831,1373
1783198837,1373
1783198842,645
1783198847,645
1783198852,645
1783198857,33
1783198862,33
1783198867,33
1783198872,15
1783198877,15
1783198903,14
1783198908,14
1783198913,14
1783198918,147
1783198924,147
1783198929,211
1783198934,211
1783198939,211
1783198944,442
1783198949,442
1783198954,442
1783198959,992
1783198965,992
1783198970,992
1783198975,1187
1783198980,1187
1783198985,1187
1783198990,1301
1783198995,1301
1783199000,1211
1783199006,1217
1783199011,1217
1783199016,1217
1783199021,278
1783199026,278
1783199031,278
1783199036,31
1783199041,31
1783199046,31
1783199051,15
1783199057,15
1783199062,15
1783199067,22
1783199072,22
1783199077,22
1783199082,184
1783199087,184
1783199092,184
1783199097,370
1783199103,243
1783199108,243
1783199113,508
1783199118,371
1783199123,371
1783199128,990
1783199133,990
1783199138,990
1783199144,1479
1783199149,1383
1783199154,945
1783199159,945
1783199164,945
1783199169,267
1783199174,267
1783199179,267
1783199184,11
1783199189,11
1783199195,11
1783199200,13
1783199205,13
1783199210,13
1783199215,18
1783199220,18
1783199225,18
1783199230,178
1783199235,178
1783199241,178
1783199246,449
1783199251,319
1783199256,319
1783199261,714
1783199266,559
1783199271,559
1783199276,794
1783199282,794
1783199287,794
1783199292,1202
1783199297,1102
1783199302,1102
1783199307,1404
1783199312,1404
1783199318,1404
1783199323,618
1783199328,618
1783199333,618
1783199338,14
1783199343,14
1783199348,14
1783199353,15
1783199358,15
1783199363,15
1783199369,22
1783199374,22
1783199379,269
1783199384,269
1783199389,269
1783199394,436
1783199399,375
1783199404,375
1783199409,684
1783199415,444
1783199420,444
1783199425,601
1783199430,601
1783199435,601
1783199440,1136
1783199446,1136
1783199451,1031
1783199456,1074
1783199461,1074
1783199466,1074
1783199471,350
1783199476,350
1783199481,350
1783199486,27
1783199492,27
1783199497,27
1783199502,15
1783199507,15
1783199512,15
1783199517,17
1783199522,17
1783199527,17
1783199533,189
1783199538,189
1783199543,189
1783199548,412
1783199553,279
1783199558,279
1783199563,427
1783199568,362
1783199573,362
1783199579,740
1783199584,740
1783199589,1135
1783199594,1135
1783199599,1044
1783199604,1181
1783199609,1181
1783199614,1181
1783199619,219
1783199625,219
1783199630,219
1783199635,13
1783199640,13
1783199645,13
1783199650,12
1783199655,12
1783199660,12
1783199665,15
1783199670,15
1783199676,15
1783199681,14
1783199686,14
1783199691,14
1783199696,14
1783199701,3
1783199706,3
1783199711,3
1783199716,2
