timestamp,cpu_percent,replicas
1781209685,1.0,2
1781209691,1.0,2
1781209696,1.0,2
1781209701,1.0,2
1781209706,1.0,2
1781209711,1.0,2
1781209716,1.0,2
1781209721,1.0,2
1781209726,1.0,2
1781209731,20.0,2
1781209736,20.0,2
1781209741,20.0,2
1781209746,35.0,2
1781209751,35.0,2
1781209756,35.0,2
1781209761,73.0,2
1781209766,73.0,2
1781209771,73.0,2
1781209776,111.0,3
1781209781,111.0,3
1781209786,111.0,3
1781209791,102.0,4
1781209796,102.0,4
1781209802,102.0,4
1781209807,100.0,6
1781209812,100.0,6
1781209817,100.0,6
1781209822,104.0,7
1781209827,104.0,7
1781209832,104.0,7
1781209837,71.0,7
1781209842,71.0,7
1781209847,71.0,7
1781209852,21.0,7
1781209857,21.0,7
1781209862,21.0,7
1781209867,15.0,7
1781209872,15.0,7
1781209877,15.0,7
1781209882,2.0,7
1781209887,2.0,7
1781209892,2.0,7
1781209897,2.0,7
1781209902,2.0,7
1781209907,2.0,7
1781209912,2.0,7
1781209918,2.0,7
1781209923,2.0,7
1781209928,2.0,7
1781209933,2.0,7
1781209938,2.0,7
1781209943,1.0,7
1781209948,1.0,7
1781209953,1.0,7
1781209958,2.0,7
1781209963,2.0,7
1781209968,2.0,7
1781209973,3.0,3
1781209978,3.0,3
1781209983,3.0,3
1781209988,3.0,3
1781209993,3.0,3
1781209998,3.0,3
1781210003,3.0,3
1781210008,3.0,3
1781210013,3.0,3
1781210018,3.0,3
