timestamp,cpu_millicores
1783199725,2
1783199730,2
1783199735,2
1783199740,255
1783199745,255
1783199750,253
1783199756,308
1783199761,308
1783199766,308
1783199771,393
1783199776,393
1783199781,393
1783199786,697
1783199791,697
1783199797,697
1783199802,893
1783199807,893
1783199812,893
1783199817,1124
1783199822,1029
1783199827,1029
1783199832,1029
1783199838,1029
1783199843,1029
1783199848,81
1783199853,81
1783199858,81
1783199863,14
1783199868,14
1783199873,14
1783199878,14
1783199884,14
1783199889,147
1783199894,147
1783199899,147
1783199904,216
1783199909,216
1783199914,216
1783199919,486
1783199925,486
1783199930,288
1783199935,522
1783199940,522
1783199945,522
1783199950,1009
1783199955,1009
1783199961,1009
1783199966,1220
1783199971,1135
1783199976,1135
1783199981,1056
1783199986,1056
1783199991,1056
1783199996,59
1783200001,59
1783200007,59
1783200012,14
1783200017,14
1783200022,14
1783200027,13
1783200032,13
1783200037,13
1783200042,153
1783200047,153
1783200053,153
1783200058,265
1783200063,265
1783200068,265
1783200073,446
1783200078,248
1783200083,248
1783200088,585
1783200093,585
1783200099,958
1783200104,958
1783200109,958
1783200114,1309
1783200119,1213
1783200124,1213
1783200129,1319
1783200135,1319
1783200140,1319
1783200145,159
1783200150,159
1783200155,159
1783200160,18
1783200165,18
1783200170,18
1783200175,14
1783200181,14
1783200186,14
1783200191,161
1783200196,161
1783200201,161
1783200206,226
1783200211,226
1783200216,226
1783200222,444
1783200227,228
1783200232,228
1783200237,456
1783200242,456
1783200247,456
1783200252,924
1783200257,924
1783200262,924
1783200268,1257
1783200273,1163
1783200278,1163
1783200283,1108
1783200288,1108
1783200293,1108
1783200298,396
1783200304,396
1783200309,14
1783200314,14
1783200319,14
1783200324,13
1783200329,13
1783200334,13
1783200339,159
1783200344,159
1783200349,159
1783200355,207
1783200360,207
1783200365,207
1783200370,437
1783200375,437
1783200380,303
1783200385,480
1783200390,480
1783200396,282
1783200401,659
1783200406,659
1783200411,659
1783200416,1130
1783200421,1023
1783200426,1023
1783200432,1164
1783200437,1164
1783200442,1164
1783200447,547
1783200452,547
1783200457,547
1783200462,14
1783200467,14
1783200473,14
1783200478,13
1783200483,13
1783200488,13
1783200493,13
1783200498,13
1783200503,13
1783200508,14
1783200513,14
1783200519,14
1783200524,13
1783200529,4
1783200534,5
1783200539,5
