timestamp,active_connections,reconnect_rate
1783199727,0.0,0.0
1783199732,0.0,0.0
1783199737,45.0,0.0
1783199742,45.0,0.0
1783199747,45.0,0.0
1783199752,178.0,213.20486666666667
1783199757,178.0,257.9017333333333
1783199762,178.0,266.0
1783199767,306.0,244.0
1783199772,306.0,244.0
1783199777,344.0,244.0
1783199782,437.0,166.068
1783199787,437.0,176.15
1783199792,485.0,261.2733333333333
1783199797,569.0,244.00106666666667
1783199802,580.0,256.10426666666666
1783199807,640.0,225.65086666666667
1783199813,693.0,161.1224
1783199818,713.0,187.23106666666664
1783199823,567.0,200.0
1783199828,26.0,148.0
1783199833,0.0,136.0
1783199838,0.0,48.0
1783199843,0.0,6.0
1783199848,0.0,0.0
1783199853,0.0,0.0
1783199858,0.0,0.0
1783199863,0.0,0.0
1783199868,0.0,0.0
1783199873,0.0,0.0
1783199878,0.0,0.0
1783199883,6.0,12.0
1783199888,34.0,64.30066666666667
1783199893,59.0,103.565
1783199898,128.0,231.95026666666664
1783199903,171.0,270.9928
1783199908,177.0,236.0
1783199913,310.0,318.0
1783199918,310.0,278.0
1783199924,310.0,266.0
1783199929,475.0,378.0
1783199934,475.0,378.0
1783199939,497.0,378.0
1783199944,623.0,186.0
1783199949,623.0,186.0
1783199954,609.0,238.0
1783199959,664.0,170.736
1783199964,698.0,175.786
1783199969,634.0,174.236
1783199974,46.0,134.452
1783199979,4.0,166.0
1783199984,0.0,114.0
1783199989,0.0,30.0
1783199994,0.0,0.0
1783199999,0.0,0.0
1783200004,0.0,0.0
1783200009,0.0,0.0
1783200014,0.0,0.0
1783200019,0.0,0.0
1783200024,0.0,0.0
1783200030,0.0,0.0
1783200035,8.0,14.568133333333334
1783200040,32.0,63.24026666666666
1783200045,85.0,153.0196
1783200050,153.0,270.40926666666667
1783200055,169.0,268.8176
1783200060,174.0,178.0
1783200065,310.0,314.0
1783200070,310.0,282.0
1783200075,302.0,272.0
1783200080,485.0,366.0
1783200085,485.0,366.0
1783200090,452.0,366.0
1783200095,652.0,218.0
1783200100,657.0,218.0
1783200105,635.0,218.0
1783200111,675.0,96.0
1783200116,709.0,144.04573333333332
1783200121,680.0,184.0
1783200126,58.0,150.0
1783200131,0.0,132.0
1783200136,0.0,98.0
1783200141,0.0,36.0
1783200146,0.0,0.0
1783200151,0.0,0.0
1783200156,0.0,0.0
1783200161,0.0,0.0
1783200166,0.0,0.0
1783200171,0.0,0.0
1783200176,0.0,0.0
1783200181,0.0,0.0
1783200186,21.0,39.735
1783200191,59.0,108.4118
1783200197,86.0,166.75133333333332
1783200202,151.0,258.1461333333333
1783200207,171.0,224.0
1783200212,173.0,174.0
1783200217,308.0,314.0
1783200222,308.0,274.0
1783200227,299.0,270.0
1783200232,484.0,370.0
1783200237,484.0,370.0
1783200242,510.0,370.0
1783200247,646.0,272.0
1783200252,610.0,272.0
1783200257,628.0,320.0
1783200262,687.0,120.0
1783200267,714.0,152.63920000000002
1783200272,597.0,172.0
1783200277,40.0,136.0
1783200282,0.0,108.0
1783200287,0.0,44.0
1783200292,0.0,8.0
1783200298,0.0,0.0
1783200303,0.0,0.0
1783200308,0.0,0.0
1783200313,0.0,0.0
1783200318,0.0,0.0
1783200323,0.0,0.0
1783200328,0.0,0.0
1783200333,4.0,8.0
1783200338,14.0,28.0
1783200343,47.0,80.0606
1783200348,116.0,209.10546666666667
1783200353,139.0,243.17746666666667
1783200358,185.0,265.1053333333333
1783200363,254.0,263.62673333333333
1783200368,282.0,284.8066666666667
1783200373,301.0,232.0
1783200378,389.0,270.0
1783200383,468.0,372.0
1783200388,458.0,334.0
1783200393,667.0,454.0
1783200398,667.0,454.0
1783200403,646.0,454.0
1783200409,819.0,200.0
1783200414,819.0,200.0
1783200419,758.0,200.0
1783200424,8.0,90.0
1783200429,8.0,90.0
1783200434,0.0,92.0
1783200439,0.0,2.0
1783200444,0.0,2.0
1783200449,0.0,0.0
1783200454,0.0,0.0
1783200459,0.0,0.0
1783200464,0.0,0.0
1783200469,0.0,0.0
1783200474,0.0,0.0
1783200479,0.0,0.0
1783200484,0.0,0.0
1783200489,0.0,0.0
1783200494,0.0,0.0
1783200499,0.0,0.0
1783200504,0.0,0.0
1783200509,0.0,0.0
1783200515,0.0,0.0
1783200520,0.0,0.0
1783200525,0.0,0.0
1783200530,0.0,0.0
1783200535,0.0,0.0
1783200540,0.0,0.0
