metric,mean,std,min,max,n
pod_seconds,8441.333333333334,1196.8384742033209,7556.0,9803.0,3
scale_up_reaction_s,39.0,13.228756555322953,24.0,49.0,3
scale_down_reaction_s,89.66666666666667,3.214550253664318,86.0,92.0,3
peak_connections,767.0,45.92385001282014,732.0,819.0,3
peak_replicas,15.0,0.0,15.0,15.0,3
