timestamp,cpu_percent,replicas
1781212879,10.0,2
1781212885,10.0,2
1781212890,10.0,2
1781212895,0.0,2
1781212900,0.0,2
1781212905,0.0,2
1781212910,1.0,2
1781212915,1.0,2
1781212920,1.0,2
1781212925,15.0,2
1781212930,15.0,2
1781212935,15.0,2
1781212940,53.0,2
1781212945,53.0,2
1781212950,53.0,2
1781212955,89.0,2
1781212960,89.0,2
1781212965,89.0,2
1781212970,130.0,3
1781212975,130.0,3
1781212980,130.0,3
1781212985,160.0,5
1781212991,160.0,5
1781212996,160.0,5
1781213001,82.0,5
1781213006,82.0,5
1781213011,82.0,5
1781213016,84.0,7
1781213021,84.0,7
1781213026,84.0,7
1781213031,73.0,7
1781213036,73.0,7
1781213041,73.0,7
1781213046,35.0,7
1781213051,35.0,7
1781213056,35.0,7
1781213061,2.0,7
1781213066,2.0,7
1781213071,2.0,7
1781213076,2.0,7
1781213081,2.0,7
1781213086,2.0,7
1781213091,2.0,7
1781213096,2.0,7
1781213101,2.0,7
1781213107,2.0,7
1781213112,2.0,7
1781213117,2.0,7
1781213122,2.0,7
1781213127,2.0,7
1781213132,2.0,7
1781213137,2.0,7
1781213142,2.0,7
1781213147,2.0,7
1781213152,2.0,7
1781213157,2.0,7
1781213162,2.0,7
1781213167,2.0,7
1781213172,2.0,7
1781213177,2.0,7
1781213182,2.0,7
1781213187,2.0,7
1781213192,2.0,7
1781213197,2.0,7
1781213202,2.0,7
1781213207,2.0,7
1781213212,2.0,7
1781213217,2.0,7
1781213222,2.0,7
1781213227,2.0,7
1781213233,2.0,7
1781213238,2.0,7
1781213243,2.0,7
1781213248,2.0,7
1781213253,2.0,7
1781213258,2.0,7
1781213263,2.0,7
1781213268,2.0,7
1781213273,2.0,7
1781213278,2.0,7
1781213283,2.0,7
1781213288,2.0,7
1781213293,2.0,7
1781213298,2.0,7
1781213303,2.0,7
1781213308,2.0,7
1781213313,2.0,7
1781213318,2.0,7
1781213323,2.0,7
1781213328,2.0,7
1781213333,2.0,7
1781213338,2.0,7
1781213343,1.0,5
1781213348,1.0,5
1781213354,1.0,5
1781213359,1.0,3
1781213364,1.0,3
1781213369,1.0,3
1781213374,1.0,3
1781213379,1.0,3
1781213384,1.0,3
1781213389,1.0,3
