timestamp,cpu_percent,replicas
1781206201,0.0,2
1781206206,0.0,2
1781206211,0.0,2
1781206216,1.0,2
1781206221,1.0,2
1781206226,1.0,2
1781206231,1.0,2
1781206236,1.0,2
1781206241,1.0,2
1781206246,6.0,2
1781206251,6.0,2
1781206256,6.0,2
1781206262,47.0,2
1781206267,47.0,2
1781206272,47.0,2
1781206277,76.0,2
1781206282,76.0,2
1781206287,76.0,2
1781206292,106.0,3
1781206297,106.0,3
1781206302,106.0,3
1781206307,93.0,4
1781206312,93.0,4
1781206317,93.0,4
1781206322,97.0,5
1781206327,97.0,5
1781206332,97.0,5
1781206337,85.0,7
1781206342,85.0,7
1781206347,85.0,7
1781206352,72.0,7
1781206357,72.0,7
1781206362,72.0,7
1781206367,31.0,7
1781206372,31.0,7
1781206377,31.0,7
1781206383,2.0,7
1781206388,2.0,7
1781206393,2.0,7
1781206398,2.0,7
