timestamp,cpu_millicores
1781206201,41
1781206206,2
1781206211,2
1781206216,2
1781206221,2
1781206226,2
1781206231,2
1781206236,13
1781206241,13
1781206246,13
1781206252,95
1781206257,95
1781206262,95
1781206267,153
1781206272,153
1781206277,153
1781206282,212
1781206287,212
1781206292,212
1781206297,281
1781206302,281
1781206307,281
1781206312,390
1781206317,390
1781206322,390
1781206327,429
1781206332,429
1781206337,429
1781206342,451
1781206347,451
1781206352,451
1781206358,222
1781206363,222
1781206368,222
1781206373,16
1781206378,16
1781206383,16
1781206388,16
1781206393,16
1781206398,16
