timestamp,cpu_percent,replicas
1781203387,0.0,2
1781203392,0.0,2
1781203397,1.0,2
1781203402,1.0,2
1781203407,1.0,2
1781203412,1.0,2
1781203417,1.0,2
1781203422,1.0,2
1781203427,12.0,2
1781203432,12.0,2
1781203437,12.0,2
1781203442,49.0,2
1781203448,49.0,2
1781203453,49.0,2
1781203458,78.0,2
1781203463,78.0,2
1781203468,78.0,2
1781203473,111.0,3
1781203478,111.0,3
1781203483,111.0,3
1781203488,103.0,4
1781203493,103.0,4
1781203498,103.0,4
1781203503,92.0,6
1781203508,92.0,6
1781203513,92.0,6
1781203518,69.0,6
1781203523,69.0,6
1781203528,69.0,6
1781203533,72.0,7
1781203538,72.0,7
1781203543,72.0,7
1781203548,39.0,7
1781203553,39.0,7
1781203558,39.0,7
1781203564,16.0,7
1781203569,16.0,7
1781203574,16.0,7
1781203579,2.0,7
1781203584,2.0,7
1781203589,2.0,7
1781203594,2.0,7
1781203599,2.0,7
1781203604,2.0,7
1781203609,2.0,5
1781203614,2.0,5
1781203619,2.0,5
1781203624,4.0,3
1781203629,4.0,3
1781203634,4.0,3
1781203639,3.0,3
1781203644,3.0,3
1781203649,3.0,3
1781203654,4.0,3
1781203659,4.0,3
1781203664,4.0,3
1781203669,5.0,2
1781203674,5.0,2
1781203679,5.0,2
1781203684,5.0,2
1781203690,5.0,2
1781203695,5.0,2
1781203700,5.0,2
1781203705,5.0,2
1781203710,5.0,2
1781203715,5.0,2
